CustomerID,Recency,Frequency,Monetary,F_Rank,R_Score,F_Score,M_Score,Segment
12402.0,323,1,195.6,19.0,1,1,1,Dormant
12403.0,50,1,391.7,20.0,3,1,2,At-Risk
12405.0,149,1,1390.39,21.0,2,1,4,At-Risk
12406.0,22,2,3415.3,1516.0,4,2,5,At-Risk
12407.0,50,5,1507.1200000000001,3235.0,3,4,4,At-Risk
12408.0,33,5,2618.55,3236.0,4,4,5,Loyal
12409.0,79,3,11072.67,2342.0,2,3,5,At-Risk
12410.0,309,2,533.33,1517.0,1,2,3,At-Risk
12412.0,75,3,1142.88,2343.0,2,3,4,At-Risk
12413.0,67,3,686.1,2344.0,3,3,3,At-Risk
12414.0,217,3,442.41,2345.0,1,3,2,At-Risk
12415.0,24,20,124564.53,4229.0,4,5,5,Loyal
12417.0,3,9,3226.1,3881.0,5,5,5,High Value
12418.0,113,1,668.58,22.0,2,1,3,At-Risk
12420.0,64,1,600.39,23.0,3,1,3,At-Risk
12421.0,16,4,639.04,2847.0,4,4,3,Loyal
12422.0,96,3,683.5600000000001,2346.0,2,3,3,At-Risk
12423.0,1,8,1634.31,3783.0,5,5,4,High Value
12424.0,163,2,1760.96,1518.0,2,2,4,At-Risk
12425.0,78,1,777.2,24.0,2,1,3,At-Risk
12426.0,195,1,510.73,25.0,1,1,3,Dormant
12427.0,22,3,699.8,2347.0,4,3,3,At-Risk
12428.0,26,8,6405.26,3784.0,4,5,5,Loyal
12429.0,9,4,3388.4,2848.0,5,4,5,Loyal
12430.0,43,1,216.4,26.0,3,1,1,At-Risk
12431.0,36,15,6314.95,4150.0,3,5,5,At-Risk
12432.0,43,4,4359.32,2849.0,3,4,5,At-Risk
12433.0,1,7,13375.87,3646.0,5,5,5,High Value
12434.0,85,2,806.14,1519.0,2,2,3,At-Risk
12435.0,80,2,7829.89,1520.0,2,2,5,At-Risk
12436.0,100,1,429.01000000000005,27.0,2,1,2,At-Risk
12437.0,2,18,4447.41,4204.0,5,5,5,High Value
12438.0,14,2,2466.85,1521.0,5,2,5,At-Risk
12441.0,367,1,155.55,28.0,1,1,1,Dormant
12442.0,3,1,144.06,29.0,5,1,1,At-Risk
12444.0,21,5,4085.46,3237.0,4,4,5,Loyal
12445.0,22,1,77.4,30.0,4,1,1,At-Risk
12446.0,58,1,1002.3100000000001,31.0,3,1,4,At-Risk
12447.0,243,1,431.49,32.0,1,1,2,Dormant
12448.0,44,1,365.45,33.0,3,1,2,At-Risk
12449.0,22,4,3596.29,2850.0,4,4,5,Loyal
12450.0,156,2,197.88,1522.0,2,2,1,At-Risk
12451.0,11,5,8995.52,3238.0,5,4,5,Loyal
12452.0,17,1,348.57,34.0,4,1,2,At-Risk
12453.0,134,1,707.09,35.0,2,1,3,At-Risk
12454.0,56,1,3528.34,36.0,3,1,5,At-Risk
12455.0,73,5,2339.86,3239.0,2,4,5,At-Risk
12456.0,44,3,2581.04,2348.0,3,3,5,At-Risk
12457.0,66,6,2043.23,3472.0,3,5,5,At-Risk
12458.0,71,2,787.4,1523.0,3,2,3,At-Risk
12461.0,155,1,626.88,37.0,2,1,3,At-Risk
12462.0,19,2,937.59,1524.0,4,2,4,At-Risk
12463.0,53,4,1200.78,2851.0,3,4,4,At-Risk
12464.0,10,8,957.05,3785.0,5,5,4,High Value
12465.0,17,2,682.1899999999999,1525.0,4,2,3,At-Risk
12468.0,188,2,657.54,1526.0,1,2,3,At-Risk
12471.0,2,27,17388.649999999998,4280.0,5,5,5,High Value
12472.0,32,7,6068.11,3647.0,4,5,5,Loyal
12473.0,54,3,2585.73,2349.0,3,3,5,At-Risk
12474.0,17,18,6694.09,4205.0,4,5,5,Loyal
12475.0,54,1,669.38,38.0,3,1,3,At-Risk
12476.0,16,11,5898.42,4004.0,4,5,5,Loyal
12477.0,23,6,13219.74,3473.0,4,5,5,Loyal
12478.0,4,1,545.99,39.0,5,1,3,At-Risk
12479.0,11,1,473.2,40.0,5,1,2,At-Risk
12480.0,28,4,2885.63,2852.0,4,4,5,Loyal
12481.0,23,10,5003.82,3951.0,4,5,5,Loyal
12483.0,17,8,1910.98,3786.0,4,5,4,Loyal
12484.0,35,4,3939.32,2853.0,3,4,5,At-Risk
12488.0,10,3,1244.66,2350.0,5,3,4,At-Risk
12489.0,336,1,298.93,41.0,1,1,2,Dormant
12490.0,5,10,4859.93,3952.0,5,5,5,High Value
12491.0,39,1,424.40000000000003,42.0,3,1,2,At-Risk
12492.0,63,2,227.21,1527.0,3,2,1,At-Risk
12493.0,166,2,379.74,1528.0,2,2,2,At-Risk
12494.0,16,7,1084.1000000000001,3648.0,4,5,4,Loyal
12497.0,82,1,953.1,43.0,2,1,4,At-Risk
12498.0,21,3,349.70000000000005,2351.0,4,3,2,At-Risk
12500.0,23,11,4059.82,4005.0,4,5,5,Loyal
12501.0,337,1,2025.39,44.0,1,1,4,Dormant
12502.0,96,5,2995.87,3240.0,2,4,5,At-Risk
12504.0,18,2,428.04999999999995,1529.0,4,2,2,At-Risk
12506.0,233,1,73.5,45.0,1,1,1,Dormant
12507.0,134,3,1052.81,2352.0,2,3,4,At-Risk
12508.0,26,2,397.88,1530.0,4,2,2,At-Risk
12509.0,284,1,158.5,46.0,1,1,1,Dormant
12510.0,143,2,814.5699999999999,1531.0,2,2,3,At-Risk
12512.0,66,2,132.18,1532.0,3,2,1,At-Risk
12513.0,113,1,558.29,47.0,2,1,3,At-Risk
12514.0,267,1,1017.68,48.0,1,1,4,Dormant
12515.0,353,1,278.7,49.0,1,1,2,Dormant
12516.0,78,2,1186.06,1533.0,2,2,4,At-Risk
12517.0,28,4,2301.6,2854.0,4,4,5,Loyal
12518.0,1,5,1840.89,3241.0,5,4,4,Loyal
12519.0,64,1,276.84,50.0,3,1,2,At-Risk
12520.0,79,5,2346.2599999999998,3242.0,2,4,5,At-Risk
12521.0,143,1,545.68,51.0,2,1,3,At-Risk
12522.0,39,2,156.72,1534.0,3,2,1,At-Risk
12523.0,19,11,1699.77,4006.0,4,5,4,Loyal
12524.0,9,8,3945.72,3787.0,5,5,5,High Value
12526.0,1,3,1172.66,2353.0,5,3,4,At-Risk
12527.0,82,3,330.71000000000004,2354.0,2,3,2,At-Risk
12528.0,9,6,1645.48,3474.0,5,5,4,High Value
12530.0,60,4,1500.28,2855.0,3,4,4,At-Risk
12531.0,15,1,125.22,52.0,4,1,1,At-Risk
12532.0,30,1,313.83000000000004,53.0,4,1,2,At-Risk
12534.0,131,1,981.18,54.0,2,1,4,At-Risk
12535.0,92,2,716.35,1535.0,2,2,3,At-Risk
12536.0,59,1,4279.71,55.0,3,1,5,At-Risk
12538.0,29,1,363.95,56.0,4,1,2,At-Risk
12539.0,22,4,5568.35,2856.0,4,4,5,Loyal
12540.0,20,17,11580.24,4185.0,4,5,5,Loyal
12541.0,30,3,841.18,2355.0,4,3,3,At-Risk
12544.0,36,1,316.7,57.0,3,1,2,At-Risk
12545.0,75,2,832.39,1536.0,2,2,3,At-Risk
12546.0,47,2,1021.5,1537.0,3,2,4,At-Risk
12547.0,198,2,151.79999999999998,1538.0,1,2,1,At-Risk
12548.0,166,1,67.19999999999999,58.0,2,1,1,At-Risk
12550.0,79,1,824.83,59.0,2,1,3,At-Risk
12551.0,358,1,168.0,60.0,1,1,1,Dormant
12552.0,40,1,317.82,61.0,3,1,2,At-Risk
12553.0,8,10,3278.28,3953.0,5,5,5,High Value
12556.0,50,2,599.56,1539.0,3,2,3,At-Risk
12557.0,16,5,11990.960000000001,3243.0,4,4,5,Loyal
12558.0,8,1,269.96,62.0,5,1,2,At-Risk
12559.0,311,2,525.71,1540.0,1,2,3,At-Risk
12560.0,5,2,1918.01,1541.0,5,2,4,At-Risk
12561.0,303,1,238.85,63.0,1,1,1,Dormant
12562.0,8,7,3385.7400000000002,3649.0,5,5,5,High Value
12564.0,261,1,402.9,64.0,1,1,2,Dormant
12565.0,289,1,145.92,65.0,1,1,1,Dormant
12566.0,86,1,297.65,66.0,2,1,2,At-Risk
12567.0,23,10,8609.28,3954.0,4,5,5,Loyal
12569.0,2,32,3152.69,4298.0,5,5,5,High Value
12571.0,40,2,519.61,1542.0,3,2,3,At-Risk
12572.0,9,2,912.42,1543.0,5,2,3,At-Risk
12573.0,227,1,160.54000000000002,67.0,1,1,1,Dormant
12574.0,316,1,182.45000000000002,68.0,1,1,1,Dormant
12576.0,36,5,1315.83,3244.0,3,4,4,At-Risk
12577.0,35,3,622.65,2356.0,3,3,3,At-Risk
12578.0,21,2,2402.51,1544.0,4,2,5,At-Risk
12579.0,78,1,386.42,69.0,2,1,2,At-Risk
12580.0,247,1,379.7,70.0,1,1,2,Dormant
12581.0,40,1,179.71,71.0,3,1,1,At-Risk
12582.0,239,2,351.36,1545.0,1,2,2,At-Risk
12583.0,3,15,6705.38,4151.0,5,5,5,High Value
12584.0,4,9,2254.15,3882.0,5,5,5,High Value
12585.0,234,2,1824.1,1546.0,1,2,4,At-Risk
12586.0,17,1,196.94000000000003,72.0,4,1,1,At-Risk
12587.0,8,1,104.0,73.0,5,1,1,At-Risk
12588.0,39,1,174.89999999999998,74.0,3,1,1,At-Risk
12589.0,29,2,574.68,1547.0,4,2,3,At-Risk
12590.0,211,1,9341.26,75.0,1,1,5,Dormant
12591.0,317,1,368.85,76.0,1,1,2,Dormant
12592.0,92,2,401.6,1548.0,2,2,2,At-Risk
12593.0,109,3,382.09999999999997,2357.0,2,3,2,At-Risk
12594.0,38,9,3208.2200000000003,3883.0,3,5,5,At-Risk
12596.0,51,2,450.27,1549.0,3,2,2,At-Risk
12597.0,19,4,3195.22,2857.0,4,4,5,Loyal
12598.0,10,7,2807.08,3650.0,5,5,5,High Value
12599.0,29,7,888.58,3651.0,4,5,3,Loyal
12600.0,29,10,2311.04,3955.0,4,5,5,Loyal
12601.0,190,5,487.06,3245.0,1,4,3,At-Risk
12602.0,59,1,153.12,77.0,3,1,1,At-Risk
12603.0,22,1,613.1999999999999,78.0,4,1,3,At-Risk
12604.0,79,2,236.18,1550.0,2,2,1,At-Risk
12607.0,60,1,1579.51,79.0,3,1,4,At-Risk
12609.0,78,3,964.85,2358.0,2,3,4,At-Risk
12610.0,23,4,1747.54,2858.0,4,4,4,Loyal
12611.0,52,1,1193.32,80.0,3,1,4,At-Risk
12612.0,74,1,668.0400000000001,81.0,2,1,3,At-Risk
12613.0,57,4,3092.38,2859.0,3,4,5,At-Risk
12614.0,278,1,315.6,82.0,1,1,2,Dormant
12615.0,2,4,2093.19,2860.0,5,4,5,Loyal
12616.0,95,2,641.3,1551.0,2,2,3,At-Risk
12617.0,29,1,352.98,83.0,4,1,2,At-Risk
12618.0,22,1,137.31,84.0,4,1,1,At-Risk
12619.0,16,8,2945.56,3788.0,4,5,5,Loyal
12620.0,15,3,1303.41,2359.0,4,3,4,At-Risk
12621.0,2,20,12411.67,4230.0,5,5,5,High Value
12622.0,232,1,162.1,85.0,1,1,1,Dormant
12623.0,276,1,269.1,86.0,1,1,2,Dormant
12624.0,106,2,569.13,1552.0,2,2,3,At-Risk
12625.0,212,2,2413.82,1553.0,1,2,5,At-Risk
12626.0,23,9,5954.48,3884.0,4,5,5,Loyal
12627.0,11,6,4082.53,3475.0,5,5,5,High Value
12628.0,4,3,732.46,2360.0,5,3,3,At-Risk
12630.0,10,2,1030.88,1554.0,5,2,4,At-Risk
12631.0,57,1,480.5,87.0,3,1,2,At-Risk
12633.0,59,4,1929.98,2861.0,3,4,4,At-Risk
12635.0,90,2,1509.18,1555.0,2,2,4,At-Risk
12637.0,67,8,5804.9,3789.0,3,5,5,At-Risk
12638.0,33,1,511.69,88.0,4,1,3,At-Risk
12639.0,239,1,366.1,89.0,1,1,2,Dormant
12640.0,24,3,994.58,2361.0,4,3,4,At-Risk
12641.0,115,1,145.9,90.0,2,1,1,At-Risk
12642.0,25,3,905.26,2362.0,4,3,3,At-Risk
12643.0,128,6,3041.64,3476.0,2,5,5,At-Risk
12644.0,130,1,477.91,91.0,2,1,2,At-Risk
12645.0,34,4,1631.18,2862.0,3,4,4,At-Risk
12646.0,5,2,1346.97,1556.0,5,2,4,At-Risk
12647.0,22,12,3146.82,4059.0,4,5,5,Loyal
12648.0,155,1,300.05,92.0,2,1,2,At-Risk
12649.0,107,3,569.51,2363.0,2,3,3,At-Risk
12650.0,3,1,242.44000000000003,93.0,5,1,1,At-Risk
12651.0,335,1,114.0,94.0,1,1,1,Dormant
12652.0,331,1,793.98,95.0,1,1,3,Dormant
12653.0,149,2,2209.85,1557.0,2,2,5,At-Risk
12654.0,11,5,529.98,3246.0,5,4,3,Loyal
12656.0,17,5,3619.17,3247.0,4,4,5,Loyal
12657.0,11,4,1427.18,2863.0,5,4,4,Loyal
12658.0,19,1,632.05,96.0,4,1,3,At-Risk
12659.0,30,1,73.68,97.0,4,1,1,At-Risk
12660.0,11,1,227.1,98.0,5,1,1,At-Risk
12662.0,1,11,3543.78,4007.0,5,5,5,High Value
12664.0,8,9,4391.88,3885.0,5,5,5,High Value
12665.0,325,1,45.0,99.0,1,1,1,Dormant
12667.0,58,1,460.13,100.0,3,1,2,At-Risk
12668.0,12,4,3177.15,2864.0,5,4,5,Loyal
12669.0,151,2,1427.73,1558.0,2,2,4,At-Risk
12670.0,10,5,2744.05,3248.0,5,4,5,Loyal
12672.0,330,1,225.89999999999998,101.0,1,1,1,Dormant
12673.0,5,2,574.52,1559.0,5,2,3,At-Risk
12674.0,39,4,1844.6,2865.0,3,4,4,At-Risk
12676.0,25,6,1091.39,3477.0,4,5,4,Loyal
12678.0,42,9,16331.46,3886.0,3,5,5,At-Risk
12679.0,59,4,951.02,2866.0,3,4,4,At-Risk
12680.0,1,4,790.81,2867.0,5,4,3,Loyal
12681.0,15,22,12365.54,4252.0,4,5,5,Loyal
12682.0,4,31,11019.82,4294.0,5,5,5,High Value
12683.0,4,14,7612.57,4130.0,5,5,5,High Value
12684.0,8,6,2073.63,3478.0,5,5,5,High Value
12685.0,28,6,2575.08,3479.0,4,5,5,Loyal
12686.0,372,1,71.14,102.0,1,1,1,Dormant
12688.0,114,1,4873.8099999999995,103.0,2,1,5,At-Risk
12689.0,26,2,1139.61,1560.0,4,2,4,At-Risk
12690.0,206,1,335.01,104.0,1,1,2,Dormant
12691.0,28,5,927.8,3249.0,4,4,4,Loyal
12693.0,127,4,711.91,2868.0,2,4,3,At-Risk
12694.0,70,2,761.67,1561.0,3,2,3,At-Risk
12695.0,7,4,582.1,2869.0,5,4,3,Loyal
12697.0,29,3,757.59,2364.0,4,3,3,At-Risk
12700.0,8,4,4525.99,2870.0,5,4,5,Loyal
12701.0,80,2,725.71,1562.0,2,2,3,At-Risk
12702.0,20,1,201.0,105.0,4,1,1,At-Risk
12703.0,71,1,265.55,106.0,3,1,2,At-Risk
12704.0,7,8,1740.84,3790.0,5,5,4,High Value
12705.0,15,8,6382.29,3791.0,4,5,5,Loyal
12707.0,292,1,603.42,107.0,1,1,3,Dormant
12708.0,30,10,2442.91,3956.0,4,5,5,Loyal
12709.0,15,15,9400.52,4152.0,4,5,5,Loyal
12710.0,97,3,1023.02,2365.0,2,3,4,At-Risk
12712.0,29,13,3928.13,4101.0,4,5,5,Loyal
12713.0,1,1,794.55,108.0,5,1,3,At-Risk
12714.0,9,5,4294.86,3250.0,5,4,5,Loyal
12715.0,106,1,263.36,109.0,2,1,2,At-Risk
12716.0,4,2,963.49,1563.0,5,2,4,At-Risk
12717.0,151,2,830.98,1564.0,2,2,3,At-Risk
12718.0,71,1,202.25,110.0,3,1,1,At-Risk
12719.0,5,2,572.95,1565.0,5,2,3,At-Risk
12720.0,3,25,5115.7300000000005,4265.0,5,5,5,High Value
12721.0,32,6,2386.13,3480.0,4,5,5,Loyal
12722.0,85,4,979.63,2871.0,2,4,4,At-Risk
12723.0,4,5,707.07,3251.0,5,4,3,Loyal
12724.0,5,4,923.41,2872.0,5,4,4,Loyal
12725.0,371,1,371.8,111.0,1,1,2,Dormant
12726.0,28,7,2411.1,3652.0,4,5,5,Loyal
12727.0,11,7,3440.7,3653.0,5,5,5,High Value
12728.0,71,4,728.33,2873.0,3,4,3,At-Risk
12729.0,114,1,417.01,112.0,2,1,2,At-Risk
12731.0,24,12,18751.91,4060.0,4,5,5,Loyal
12732.0,180,1,218.26000000000002,113.0,1,1,1,Dormant
12733.0,234,1,383.95,114.0,1,1,2,Dormant
12734.0,353,1,110.39999999999999,115.0,1,1,1,Dormant
12735.0,315,2,689.5699999999999,1566.0,1,2,3,At-Risk
12736.0,333,1,144.0,116.0,1,1,1,Dormant
12738.0,372,1,137.35,117.0,1,1,1,Dormant
12739.0,99,1,975.54,118.0,2,1,4,At-Risk
12740.0,64,1,427.6,119.0,3,1,2,At-Risk
12743.0,134,2,540.13,1567.0,2,2,3,At-Risk
12744.0,56,4,9120.39,2874.0,3,4,5,At-Risk
12747.0,2,11,4196.01,4008.0,5,5,5,High Value
12748.0,1,206,31650.78,4335.0,5,5,5,High Value
12749.0,4,5,4040.88,3252.0,5,4,5,Loyal
12750.0,129,1,275.88,120.0,2,1,2,At-Risk
12752.0,81,1,4366.78,121.0,2,1,5,At-Risk
12753.0,23,6,21429.39,3481.0,4,5,5,Loyal
12754.0,236,3,3010.74,2366.0,1,3,5,At-Risk
12755.0,281,2,3811.95,1568.0,1,2,5,At-Risk
12756.0,87,1,112.07999999999998,122.0,2,1,1,At-Risk
12757.0,16,9,4176.75,3887.0,4,5,5,Loyal
12758.0,117,2,2791.59,1569.0,2,2,5,At-Risk
12759.0,52,3,1411.44,2367.0,3,3,4,At-Risk
12762.0,8,2,1702.52,1570.0,5,2,4,At-Risk
12763.0,138,2,494.08,1571.0,2,2,3,At-Risk
12764.0,317,1,1693.88,123.0,1,1,4,Dormant
12766.0,4,7,6457.63,3654.0,5,5,5,High Value
12769.0,239,1,1143.6,124.0,1,1,4,Dormant
12770.0,211,1,1351.45,125.0,1,1,4,Dormant
12772.0,60,1,752.47,126.0,3,1,3,At-Risk
12775.0,17,5,1281.04,3253.0,4,4,4,Loyal
12778.0,20,6,693.23,3482.0,4,5,3,Loyal
12779.0,38,8,3981.36,3792.0,3,5,5,At-Risk
12781.0,64,2,786.74,1572.0,3,2,3,At-Risk
12782.0,5,5,1938.92,3254.0,5,4,4,Loyal
12783.0,2,4,1295.87,2875.0,5,4,4,Loyal
12784.0,15,1,476.82,127.0,4,1,2,At-Risk
12785.0,364,1,255.95,128.0,1,1,2,Dormant
12787.0,10,3,418.66,2368.0,5,3,2,At-Risk
12789.0,65,1,76.85,129.0,3,1,1,At-Risk
12790.0,192,1,294.92,130.0,1,1,2,Dormant
12791.0,374,1,177.60000000000002,131.0,1,1,1,Dormant
12792.0,257,1,344.53999999999996,132.0,1,1,2,Dormant
12793.0,335,2,461.48,1573.0,1,2,2,At-Risk
12794.0,53,2,860.41,1574.0,3,2,3,At-Risk
12795.0,19,1,318.48,133.0,4,1,2,At-Risk
12797.0,366,1,226.03,134.0,1,1,1,Dormant
12798.0,10,3,6977.04,2369.0,5,3,5,At-Risk
12802.0,187,1,397.58,135.0,1,1,2,Dormant
12808.0,37,3,455.65000000000003,2370.0,3,3,2,At-Risk
12809.0,178,1,405.31,136.0,2,1,2,At-Risk
12811.0,262,2,458.85,1575.0,1,2,2,At-Risk
12812.0,45,1,229.64000000000001,137.0,3,1,1,At-Risk
12814.0,102,1,85.92,138.0,2,1,1,At-Risk
12815.0,148,2,863.46,1576.0,2,2,3,At-Risk
12816.0,96,2,452.20000000000005,1577.0,2,2,2,At-Risk
12817.0,281,1,126.03999999999999,139.0,1,1,1,Dormant
12818.0,262,1,1182.0800000000002,140.0,1,1,4,Dormant
12820.0,3,4,942.34,2876.0,5,4,4,Loyal
12821.0,214,1,92.72,141.0,1,1,1,Dormant
12822.0,71,2,948.88,1578.0,3,2,4,At-Risk
12823.0,75,5,1759.5,3255.0,2,4,4,At-Risk
12824.0,60,1,397.12,142.0,3,1,2,At-Risk
12826.0,3,7,1474.72,3655.0,5,5,4,High Value
12827.0,6,3,430.15000000000003,2371.0,5,3,2,At-Risk
12828.0,3,6,1018.71,3483.0,5,5,4,High Value
12829.0,337,2,293.0,1579.0,1,2,2,At-Risk
12830.0,38,6,6814.64,3484.0,3,5,5,At-Risk
12831.0,262,1,215.05,143.0,1,1,1,Dormant
12832.0,32,2,383.03,1580.0,4,2,2,At-Risk
12833.0,145,1,417.38,144.0,2,1,2,At-Risk
12834.0,283,1,312.38,145.0,1,1,2,Dormant
12836.0,59,4,2610.36,2877.0,3,4,5,At-Risk
12837.0,173,1,134.1,146.0,2,1,1,At-Risk
12838.0,34,2,671.95,1581.0,3,2,3,At-Risk
12839.0,3,14,5591.42,4131.0,5,5,5,High Value
12840.0,144,4,2726.77,2878.0,2,4,5,At-Risk
12841.0,5,25,3991.58,4266.0,5,5,5,High Value
12842.0,70,2,1118.99,1582.0,3,2,4,At-Risk
12843.0,66,8,1702.26,3793.0,3,5,4,At-Risk
12844.0,29,2,325.96000000000004,1583.0,4,2,2,At-Risk
12845.0,267,4,354.09,2879.0,1,4,2,At-Risk
12847.0,22,1,843.64,147.0,4,1,3,At-Risk
12849.0,31,2,992.65,1584.0,4,2,4,At-Risk
12851.0,97,1,131.81,148.0,2,1,1,At-Risk
12852.0,295,1,311.55,149.0,1,1,2,Dormant
12853.0,135,6,1957.1000000000001,3485.0,2,5,4,At-Risk
12854.0,79,3,1316.25,2372.0,2,3,4,At-Risk
12855.0,373,1,38.1,150.0,1,1,1,Dormant
12856.0,8,6,2170.78,3486.0,5,5,5,High Value
12857.0,211,2,1106.4,1585.0,1,2,4,At-Risk
12863.0,52,1,521.2,151.0,3,1,3,At-Risk
12864.0,138,1,147.12,152.0,2,1,1,At-Risk
12865.0,26,2,1568.23,1586.0,4,2,4,At-Risk
12866.0,283,1,499.12,153.0,1,1,3,Dormant
12867.0,26,7,4009.34,3656.0,4,5,5,Loyal
12868.0,186,6,1607.0600000000002,3487.0,1,5,4,At-Risk
12871.0,84,2,380.64,1587.0,2,2,2,At-Risk
12872.0,327,2,599.97,1588.0,1,2,3,At-Risk
12873.0,282,1,374.0,154.0,1,1,2,Dormant
12875.0,143,2,343.2300000000001,1589.0,2,2,2,At-Risk
12876.0,58,2,2053.02,1590.0,3,2,5,At-Risk
12877.0,4,12,1535.77,4061.0,5,5,4,High Value
12878.0,236,2,854.99,1591.0,1,2,3,At-Risk
12879.0,45,3,573.22,2373.0,3,3,3,At-Risk
12881.0,276,1,298.0,155.0,1,1,2,Dormant
12882.0,9,2,1463.04,1592.0,5,2,4,At-Risk
12883.0,25,4,703.47,2880.0,4,4,3,Loyal
12884.0,88,1,309.05,156.0,2,1,2,At-Risk
12885.0,63,3,1175.22,2374.0,3,3,4,At-Risk
12886.0,68,2,1378.4,1593.0,3,2,4,At-Risk
12888.0,214,2,354.12,1594.0,1,2,2,At-Risk
12890.0,24,1,376.71999999999997,157.0,4,1,2,At-Risk
12891.0,186,3,331.0,2375.0,1,3,2,At-Risk
12893.0,31,1,176.55,158.0,4,1,1,At-Risk
12895.0,42,2,372.8,1595.0,3,2,2,At-Risk
12897.0,205,2,216.5,1596.0,1,2,1,At-Risk
12901.0,9,28,17654.54,4284.0,5,5,5,High Value
12902.0,265,1,138.68,159.0,1,1,1,Dormant
12904.0,18,2,496.06,1597.0,4,2,3,At-Risk
12906.0,12,5,2919.81,3256.0,5,4,5,Loyal
12908.0,176,2,750.0,1598.0,2,2,3,At-Risk
12909.0,40,5,2178.67,3257.0,3,4,5,At-Risk
12910.0,23,8,3075.04,3794.0,4,5,5,Loyal
12912.0,3,5,1662.3,3258.0,5,4,4,Loyal
12913.0,5,5,2483.63,3259.0,5,4,5,Loyal
12915.0,149,2,363.65,1599.0,2,2,2,At-Risk
12916.0,139,4,2944.95,2881.0,2,4,5,At-Risk
12917.0,128,1,594.0,160.0,2,1,3,At-Risk
12919.0,8,6,1335.19,3488.0,5,5,4,High Value
12920.0,17,1,162.78,161.0,4,1,1,At-Risk
12921.0,9,37,16587.09,4307.0,5,5,5,High Value
12922.0,161,1,405.38,162.0,2,1,2,At-Risk
12923.0,64,1,171.57,163.0,3,1,1,At-Risk
12924.0,88,4,925.75,2882.0,2,4,4,At-Risk
12925.0,5,2,694.05,1600.0,5,2,3,At-Risk
12928.0,35,5,2062.7000000000003,3260.0,3,4,5,At-Risk
12929.0,312,1,117.85,164.0,1,1,1,Dormant
12930.0,78,2,415.8,1601.0,2,2,2,At-Risk
12931.0,22,15,42055.96,4153.0,4,5,5,Loyal
12933.0,24,3,607.53,2376.0,4,3,3,At-Risk
12935.0,2,7,2160.7,3657.0,5,5,5,High Value
12936.0,17,4,1063.9,2883.0,4,4,4,Loyal
12937.0,15,4,1504.27,2884.0,4,4,4,Loyal
12938.0,26,1,114.14,165.0,4,1,1,At-Risk
12939.0,64,8,11581.8,3795.0,3,5,5,At-Risk
12940.0,55,2,899.69,1602.0,3,2,3,At-Risk
12942.0,131,3,675.6,2377.0,2,3,3,At-Risk
